"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","condition_wall","condition_floors","condition_windows","condition_stairways","X_35a","X_38a"
"1",4000,200,200,0,0,0,2,2,2,2,2,3,0
"2",98850,250,250,0,0,0,5,0,2,2,2,3,3
"3",15000,99999,99999,0,0,0,4,0,2,2,2,0,0
"4",8940,323,323,0,0,0,4,2,2,2,2,3,3
"5",8000,217,217,0,0,0,3,4,2,2,2,3,0
"6",7200,357,31,0,0,0,6,2,2,4,2,3,3
"7",9360,183,183,0,0,0,4,0,2,6,2,3,3
"8",36000,247,247,0,0,0,2,4,2,2,2,0,0
"9",2080,339,0,0,0,0,5,0,2,2,2,3,0
"10",12960,200,0,0,0,0,3,4,2,2,2,3,0
"11",45000,99999,99999,0,0,0,4,4,2,2,2,0,0
"12",117000,99999,99999,0,0,0,5,4,2,2,2,0,0
"13",59000,2000,2000,0,0,0,3,4,2,2,2,0,0
"14",31000,739,739,0,0,0,4,4,2,2,2,0,0
"15",14000,99999,99999,0,0,0,2,4,2,2,2,0,0
"16",16500,99999,99999,0,0,0,6,4,2,2,2,0,0
"17",134016,1000,1000,0,0,2,5,4,2,2,2,0,0
"18",60000,99999,99999,0,0,0,5,4,2,2,2,0,0
"19",34000,99999,99999,0,0,0,7,4,2,2,2,0,0
"20",22000,99999,99999,0,0,0,6,4,2,2,2,0,0
"21",28000,99999,99999,0,0,0,6,4,2,2,2,0,0
"22",66200,99999,99999,0,0,0,5,4,2,2,2,0,3
"23",5640,500,500,0,0,0,4,4,2,2,2,3,3
"24",20000,350,350,0,0,0,2,4,0,2,2,3,0
"25",47000,400,200,0,0,0,4,4,2,2,2,0,0
"26",41000,700,700,0,0,0,3,2,2,2,2,3,0
"27",26400,99999,99999,0,0,0,6,0,2,2,2,0,0
"28",26000,550,550,0,0,0,3,0,2,2,2,3,3
"29",87000,99999,99999,0,0,0,6,4,0,2,2,0,3
"30",10032,375,184,0,0,0,3,4,2,2,2,3,0
"31",11500,550,550,0,0,0,3,0,2,2,2,0,0
"32",9000,550,99998,0,0,0,1,2,2,2,2,3,3
"33",999999,167,167,0,0,0,4,4,2,2,2,3,0
"34",3416,500,283,0,0,0,3,4,2,2,2,3,0
"35",76100,500,99998,0,0,0,3,0,2,2,2,3,3
"36",16000,533,533,0,0,0,4,4,2,2,2,3,0
"37",58500,153,153,0,0,0,4,6,2,2,2,3,0
"38",24672,575,575,0,0,0,3,4,2,2,2,3,0
"39",43640,600,600,0,0,0,5,4,2,2,2,3,0
"40",48000,705,705,0,0,0,4,4,2,2,2,0,0
"41",4488,490,490,0,0,0,3,4,2,2,2,3,0
"42",3000,294,99998,0,0,0,3,2,2,2,2,3,3
"43",42000,99999,99999,0,0,0,3,4,2,2,2,0,0
"44",18140,378,378,0,0,0,4,2,2,2,2,3,0
"45",23400,810,460,0,0,0,3,4,2,2,2,0,0
"46",6800,426,426,0,0,0,4,2,2,2,2,0,0
"47",85000,99999,99999,0,0,0,5,4,2,2,2,0,0
"48",28000,99999,99999,0,0,0,2,4,2,2,2,0,0
"49",61000,513,513,0,0,0,4,4,2,2,2,3,0
"50",47000,99999,99999,0,0,0,7,4,2,2,2,0,0
"51",11000,99999,99999,0,0,0,5,0,2,2,2,0,0
"52",6600,157,0,0,0,0,4,4,2,2,2,0,0
"53",55000,800,99998,0,0,0,4,0,2,2,2,0,0
"54",80000,99999,99999,0,0,0,7,4,2,2,2,0,0
"55",38000,720,99998,0,0,0,3,0,2,2,2,0,0
"56",80000,99999,99999,0,0,0,6,2,2,2,2,0,0
"57",8232,575,575,0,0,0,1,4,2,2,2,0,0
"58",110000,800,800,0,0,0,5,4,2,2,2,0,0
"59",60000,99999,99999,0,0,0,8,4,2,2,2,0,0
"60",3500,350,68,0,0,0,2,2,2,2,2,3,0
"61",54000,99999,99999,0,0,0,7,4,2,2,2,0,0
"62",39000,99999,99999,0,0,0,8,0,0,2,2,0,0
"63",10332,99999,99999,0,0,0,4,4,2,2,2,0,0
"64",86500,99999,99999,0,0,0,5,4,2,2,2,3,0
"65",20000,800,800,0,0,0,5,4,0,2,2,0,0
"66",68000,780,99998,0,0,0,4,0,2,2,2,0,0
"67",40013,432,432,0,0,0,1,0,2,2,2,0,0
"68",5800,99999,99999,0,0,0,4,4,2,2,2,0,0
"69",50000,728,728,0,0,2,4,4,2,2,2,3,0
"70",29000,521,521,0,0,0,2,2,2,2,2,3,3
"71",6000,186,186,0,0,0,3,4,2,2,2,0,0
"72",22500,222,222,0,0,0,5,0,2,2,2,0,0
"73",1506,97,0,0,0,0,4,0,2,2,2,3,3
"74",12000,160,160,0,0,0,6,0,2,2,2,0,0
"75",20000,600,600,0,0,0,4,0,2,2,2,0,0
"76",30400,400,400,0,0,0,3,4,2,2,0,0,0
"77",8360,500,500,0,0,0,5,4,2,2,2,0,0
"78",26500,875,875,0,0,0,6,4,2,2,2,0,0
"79",100000,925,925,0,0,2,4,4,2,2,2,0,0
"80",104000,99999,99999,0,0,0,8,4,2,2,2,0,0
"81",65376,99999,99999,0,0,0,6,4,2,2,2,0,0
"82",145000,99999,99999,0,0,0,5,4,2,2,2,0,0
"83",30000,318,318,0,0,0,6,2,2,2,2,3,3
"84",14800,99999,99999,0,0,0,5,4,2,2,2,0,0
"85",16228,137,0,0,0,0,4,0,2,2,2,3,3
"86",15104,99999,99999,0,0,0,4,2,2,2,2,0,0
"87",15000,595,595,0,0,2,5,4,2,2,2,0,0
"88",48000,99999,99999,0,0,0,5,4,2,2,2,0,0
"89",999999,535,535,0,0,0,2,0,2,2,2,3,3
"90",14000,549,549,0,0,0,3,4,2,2,2,0,3
"91",52300,631,631,0,0,0,3,4,2,2,2,0,3
"92",23000,99999,99999,0,0,0,3,4,2,2,2,0,0
"93",25000,561,561,0,0,0,2,4,2,2,2,0,0
"94",80000,99999,99999,0,0,0,6,2,2,2,2,0,3
"95",125000,99999,99999,0,0,0,6,4,2,2,0,3,0
"96",141200,99999,99999,0,0,0,7,4,0,2,0,3,3
"97",9000,2250,99998,0,0,0,4,0,2,2,2,0,0
"98",9672,483,483,0,0,0,3,4,2,2,2,0,3
"99",75200,885,885,0,0,0,4,4,2,2,2,0,0
"100",36632,99999,99999,0,0,0,5,0,2,2,2,0,0
"101",15500,475,99998,0,0,0,3,4,2,2,2,0,0
"102",39600,593,593,0,0,0,1,4,2,2,2,0,0
"103",22276,99999,99999,0,0,0,8,4,2,2,2,0,0
"104",-1000,99999,99999,0,0,0,8,4,2,2,2,0,0
"105",6000,500,500,0,0,0,3,4,2,2,2,0,0
"106",55000,1050,1050,0,0,0,3,4,2,2,2,0,0
"107",31284,875,99998,0,0,0,3,0,2,2,2,0,0
"108",23000,99999,99999,0,0,0,6,4,2,2,2,0,0
"109",52000,700,700,0,0,0,5,4,2,2,2,0,3
"110",95300,99999,99999,0,0,0,3,6,2,2,2,0,0
"111",72000,1250,99998,0,0,0,3,0,2,2,2,0,0
"112",49000,650,650,0,0,0,4,4,2,2,2,0,0
"113",19800,550,550,0,0,0,5,4,2,2,2,0,0
"114",40000,1600,1600,0,0,2,1,4,2,2,2,0,0
"115",25000,99999,99999,0,0,0,4,4,2,2,2,0,0
"116",70000,99999,99999,0,0,0,6,4,2,2,2,0,0
"117",50000,800,99998,0,0,0,3,0,2,2,2,0,0
"118",90000,99999,99999,0,0,0,5,4,2,2,2,0,0
"119",6500,500,500,0,0,0,4,4,2,2,2,0,0
"120",75000,900,900,0,0,0,3,4,2,2,2,0,0
"121",18000,99999,99999,0,0,0,6,4,2,2,2,0,0
"122",66300,780,780,0,0,0,5,4,2,2,2,0,0
"123",60800,750,750,0,0,0,2,4,2,2,2,0,3
"124",33000,900,900,0,0,0,5,4,2,2,2,0,3
"125",999999,1750,99998,0,0,0,4,0,2,2,2,0,0
"126",49316,99999,99999,0,0,0,5,4,2,2,2,0,0
"127",84300,700,700,0,0,0,3,2,2,2,2,0,0
"128",46900,550,99998,0,0,0,3,0,2,2,2,0,0
"129",20000,586,99998,0,0,0,2,0,2,2,2,0,0
"130",27885,99999,99999,0,0,0,7,4,2,2,2,0,0
"131",15000,1400,1400,0,0,0,3,4,2,2,2,0,0
"132",13400,800,99998,0,0,0,7,0,2,2,2,0,0
"133",999999,600,600,0,0,0,2,4,2,2,2,0,0
"134",50000,1250,1250,0,0,0,4,4,2,2,2,0,0
"135",13800,99999,99999,0,0,0,5,0,0,2,2,0,0
"136",60000,525,525,0,0,0,3,4,2,2,2,3,0
"137",17800,775,99998,0,0,0,3,0,0,2,2,0,0
"138",999999,99999,99999,0,0,0,5,0,2,2,2,0,0
"139",145000,99999,99999,0,0,0,5,4,2,2,2,0,0
"140",21000,750,750,0,0,0,5,4,2,2,2,0,0
"141",55000,500,0,0,0,0,3,4,2,2,2,0,0
"142",20000,99999,99999,0,0,0,6,4,2,2,2,0,0
"143",25000,700,700,0,0,0,2,4,2,2,2,0,0
"144",16440,500,99998,0,0,0,3,4,2,2,2,0,0
"145",10920,99999,99999,0,0,0,4,4,2,2,2,0,0
"146",5300,525,525,0,0,0,3,4,2,2,0,0,0
"147",125000,99999,99999,0,0,0,3,4,2,2,2,0,0
"148",45000,99999,99999,0,0,0,3,4,2,2,2,0,0
"149",13716,394,394,0,0,0,4,4,2,2,2,0,3
"150",325107,815,815,0,0,0,4,4,2,2,2,0,0
"151",19000,550,550,0,0,0,4,0,2,2,2,3,3
"152",19840,321,321,0,0,0,5,4,2,2,2,0,0
"153",53000,99999,99999,0,0,0,3,4,2,2,2,0,0
"154",11728,99999,99999,0,0,0,3,4,2,2,2,0,0
"155",999999,99999,99999,0,0,0,5,0,0,2,2,0,0
"156",14856,99999,99999,0,0,0,3,4,2,2,2,0,0
"157",6684,581,182,0,0,0,3,2,2,2,2,0,0
"158",14000,650,650,0,0,0,3,0,2,2,2,0,0
"159",90000,99999,99999,0,0,0,7,4,2,2,2,0,0
"160",2616,667,0,0,0,0,3,4,2,2,2,0,0
"161",84600,99999,99999,0,0,0,6,4,2,2,2,0,0
"162",50000,300,99998,0,5,0,1,0,2,2,2,0,0
"163",54206,99999,99999,0,0,0,6,4,2,2,2,0,0
"164",28000,580,580,0,0,0,5,6,2,2,2,0,0
"165",70350,1000,99998,0,0,0,2,0,2,2,2,0,0
"166",33000,766,766,0,0,0,5,4,2,2,2,0,3
"167",6912,99999,99999,0,0,0,5,4,2,2,2,0,0
"168",23000,825,825,0,0,0,4,4,2,2,2,3,0
"169",3096,215,215,0,5,0,1,4,2,2,2,0,0
"170",11041,677,677,0,0,0,3,2,2,2,2,0,3
"171",6700,445,445,0,0,0,3,4,2,2,2,0,0
"172",1060,650,99998,0,0,0,3,4,2,2,2,0,0
"173",32000,99999,99999,0,0,0,8,0,2,2,2,0,0
"174",49250,99999,99999,0,0,0,4,4,2,2,2,0,0
"175",14000,725,725,0,0,0,3,4,2,2,2,0,0
"176",35000,1600,1600,0,0,0,3,2,2,2,2,3,3
"177",15800,450,450,0,0,0,3,2,2,2,2,0,0
"178",7200,1100,1100,0,0,0,5,4,2,2,2,0,0
"179",10476,173,173,0,0,0,2,0,2,2,2,3,3
"180",21200,439,439,0,0,0,4,4,2,2,2,3,3
"181",132500,1350,99998,0,0,0,5,0,2,2,2,0,0
"182",160300,1450,99998,0,0,0,3,0,2,2,2,0,0
"183",12000,750,750,0,0,0,4,4,2,2,2,0,0
"184",30000,99999,99999,0,0,0,4,4,2,2,2,3,3
"185",88800,99999,99999,0,0,0,5,4,2,2,2,0,0
"186",13750,490,160,0,0,0,3,4,2,2,2,0,0
"187",87700,99999,99999,0,0,0,6,2,2,2,2,0,0
"188",75000,950,950,0,0,0,6,4,0,2,2,0,0
"189",26000,600,600,0,0,0,3,4,2,2,2,0,0
"190",32000,600,600,0,0,0,5,4,0,2,2,0,0
"191",90000,1073,1073,0,0,0,2,4,2,2,2,0,0
"192",86200,99999,99999,0,0,0,3,0,2,2,2,0,0
"193",405107,99999,99999,0,0,0,6,4,2,2,2,0,0
"194",5400,260,0,0,0,0,4,4,2,2,2,0,3
"195",50000,664,99998,0,0,0,4,0,2,2,2,0,0
"196",10000,900,99998,0,0,0,4,4,2,2,2,0,0
"197",14400,99999,99999,0,0,0,4,4,2,2,2,0,0
"198",9360,242,242,0,0,0,4,4,2,2,2,0,0
"199",30000,755,755,0,0,0,7,2,2,2,2,0,0
"200",97000,99999,99999,0,0,0,8,4,0,2,2,0,0
"201",40000,99999,99999,0,0,2,4,4,2,2,2,0,0
"202",9000,475,475,0,0,0,3,4,6,2,4,3,3
"203",54000,99999,99999,0,0,0,6,4,0,2,2,0,0
"204",58750,99999,99999,0,0,0,4,0,2,2,2,0,0
"205",47000,182,0,0,0,0,3,0,2,2,2,0,0
"206",6992,99999,99999,0,0,0,7,4,2,2,2,0,0
"207",88000,99999,99999,0,0,0,6,4,2,2,2,0,0
"208",35600,99999,99999,0,0,0,6,0,2,2,2,0,0
"209",30000,3106,2894,0,0,0,5,0,2,2,2,0,0
"210",90400,600,600,0,0,0,3,4,2,2,2,0,3
"211",999999,99999,99999,0,0,0,1,4,2,2,2,0,0
"212",15000,900,99998,0,0,0,3,2,2,2,2,0,3
"213",29208,99999,99999,0,0,0,6,4,2,2,2,0,0
"214",110000,99999,99999,0,0,0,2,4,2,2,2,3,3
"215",21500,126,99998,0,0,0,3,4,2,2,2,0,0
"216",60000,859,859,0,0,0,4,4,2,2,2,0,0
"217",10488,600,600,0,0,0,4,4,2,2,2,0,0
"218",16600,260,10,0,0,0,4,2,2,2,2,0,0
"219",6730,464,127,0,0,0,3,4,2,2,2,3,3
"220",4202,750,325,0,0,0,4,2,2,2,2,3,0
"221",78357,856,856,0,0,0,4,4,2,2,2,0,3
"222",37000,446,446,0,0,0,4,2,2,2,2,0,3
"223",6200,137,0,0,0,0,4,4,2,2,2,0,3
"224",1020,150,150,0,0,0,3,4,2,2,2,0,0
"225",7000,1500,1500,0,0,0,3,4,2,2,2,0,0
"226",1270,775,667,0,0,0,4,2,2,2,2,3,0
"227",42300,99999,99999,0,0,0,5,4,0,2,2,3,3
"228",42500,680,680,0,0,2,4,0,2,2,2,0,3
"229",57000,758,758,0,0,0,5,4,2,2,2,0,0
"230",118000,99999,99999,0,0,0,4,0,2,2,2,0,0
"231",1781,577,0,0,0,0,3,0,2,2,2,3,3
"232",45000,99999,99999,0,0,0,6,4,2,2,2,0,0
"233",141000,99999,99999,0,0,0,3,4,2,2,2,0,0
"234",23000,99999,99999,0,0,0,3,4,2,2,2,0,0
"235",999999,1650,1650,0,0,0,1,4,2,2,2,0,0
"236",46000,750,750,0,0,0,5,4,2,2,2,0,0
"237",9948,300,300,0,0,0,5,4,2,2,2,0,0
"238",3500,600,99998,0,0,0,3,0,2,2,2,0,0
"239",12500,100,100,0,0,0,3,0,0,2,0,0,0
"240",9200,400,400,0,0,0,4,0,2,2,2,3,3
"241",25000,611,611,0,0,0,3,2,2,2,2,3,0
"242",999999,300,99998,0,0,0,3,0,2,2,2,0,0
"243",53064,99999,99999,0,0,0,5,4,2,2,2,0,0
"244",68100,99999,99999,0,0,0,5,4,2,2,2,0,0
"245",18000,475,475,0,0,0,4,4,2,2,2,0,0
"246",999999,940,940,0,0,0,2,4,2,2,2,0,0
"247",150000,99999,99999,0,0,0,3,4,2,2,2,0,0
"248",80704,700,700,0,0,0,4,4,2,2,2,0,0
"249",999999,600,600,0,0,0,4,4,2,2,2,0,0
"250",8208,110,110,0,0,0,4,4,2,2,2,0,0
"251",58700,99999,99999,0,0,0,4,4,2,2,2,0,0
"252",115000,700,700,0,0,0,4,0,2,2,2,3,3
"253",42000,825,825,0,0,0,2,4,2,2,2,0,0
"254",999999,750,750,0,0,0,1,4,2,2,2,0,0
"255",13200,99999,99999,0,0,0,5,4,0,2,2,0,0
"256",44000,1350,1350,0,0,0,4,4,2,2,2,0,0
"257",9600,99999,99999,0,0,0,3,4,2,2,2,0,0
"258",25100,99999,99999,0,0,0,1,4,2,2,2,0,0
"259",9600,775,775,0,0,0,3,4,2,2,2,0,0
"260",25000,1100,1100,0,0,0,3,2,2,2,2,0,0
"261",355107,99999,99999,0,0,0,4,4,2,2,2,0,3
"262",76400,99999,99999,0,0,0,5,4,2,2,2,3,0
"263",30000,99999,99999,0,0,0,5,0,2,2,2,0,0
"264",5640,137,137,0,0,0,4,4,2,2,2,0,0
"265",17000,407,407,0,0,0,3,4,2,2,2,0,0
"266",36400,600,99998,0,0,0,3,0,2,2,2,0,0
"267",11200,500,99998,0,0,0,3,4,2,2,2,0,0
"268",10000,99999,99999,0,0,0,6,4,2,2,2,0,0
"269",6560,119,99998,0,0,0,4,4,2,2,2,3,0
"270",44645,2001,2001,0,0,0,5,4,2,2,2,0,0
"271",5500,1400,1400,0,0,0,3,4,2,2,2,0,0
"272",9000,460,460,0,0,0,4,4,2,2,2,3,0
"273",6972,595,0,0,0,0,3,2,2,2,2,3,0
"274",6624,250,0,0,0,0,4,2,2,4,2,3,3
"275",45000,1125,99998,0,0,0,1,4,2,2,2,0,0
"276",50000,620,620,0,0,0,4,4,2,2,2,0,0
"277",20000,565,565,0,0,0,3,0,2,2,2,3,3
"278",15000,450,450,0,0,0,3,4,2,2,2,0,0
"279",2940,245,245,0,0,0,3,4,2,2,2,3,0
"280",4500,670,550,0,0,0,3,4,2,2,2,0,3
"281",7200,450,450,0,0,0,5,4,2,2,2,0,0
"282",40000,1050,1050,0,0,0,3,2,2,2,2,3,0
"283",8016,650,99998,0,0,0,4,4,2,2,2,0,0
"284",45000,650,650,0,0,0,5,4,2,2,2,0,0
"285",8352,153,0,0,0,0,5,0,2,2,2,3,3
"286",999999,675,675,0,0,0,1,4,2,2,2,0,0
"287",44000,850,850,0,0,0,4,4,2,2,2,3,0
"288",1308,550,300,0,0,0,3,4,2,2,2,0,3
"289",12820,500,500,0,0,0,4,4,2,2,2,3,3
"290",14560,532,532,0,0,0,4,4,2,2,2,3,0
"291",82000,550,550,0,0,0,5,0,0,2,2,0,3
"292",71000,99999,99999,0,0,0,8,4,2,2,2,0,0
"293",999999,911,99998,0,0,0,1,2,2,2,2,0,0
"294",999999,99999,99999,0,0,0,5,0,0,2,2,0,0
"295",39000,430,430,0,0,0,3,0,2,2,2,3,3
"296",39600,917,917,0,0,0,6,4,2,2,2,3,0
"297",102500,99999,99999,0,0,0,5,4,2,2,2,0,0
"298",85000,600,600,0,0,0,3,2,2,2,2,0,0
"299",22700,699,699,0,0,0,3,2,2,2,2,3,3
"300",75700,99999,99999,0,0,0,6,4,2,2,2,0,0
"301",65000,99999,99999,0,0,0,2,4,2,2,2,0,0
"302",25224,550,335,0,0,0,4,0,2,2,2,3,3
"303",41000,450,450,0,0,0,3,4,2,2,2,3,0
"304",30900,674,99998,0,0,0,4,0,2,2,2,0,0
"305",4104,1000,1000,0,5,0,1,2,2,2,0,3,0
"306",6600,250,250,0,0,2,3,2,2,2,2,0,3
