"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway"
"1",74750,99999,99999,0,2,9,4,2,2,2,2
"2",165000,99999,99999,0,2,9,5,0,2,2,2
"3",182600,99999,99999,0,2,9,5,0,2,2,2
"4",15000,1500,117,0,2,9,2,0,2,2,2
"5",28800,99999,99999,0,1,9,2,0,2,2,2
"6",40000,850,850,0,2,9,5,0,2,2,2
"7",10000,99999,99999,0,2,9,3,0,2,2,2
"8",10000,99999,99999,0,8,8,5,0,2,2,2
"9",46000,99999,99999,0,2,3,4,2,2,2,2
"10",47520,99999,99999,0,2,9,2,0,2,2,2
"11",24000,600,600,0,2,9,1,0,2,2,2
"12",10164,750,750,0,2,9,2,0,2,2,2
"13",20600,99999,99999,0,1,2,6,6,4,4,2
"14",9999999,99999,99999,0,2,9,6,6,4,4,2
"15",43000,998,99998,0,2,9,4,0,2,2,2
"16",67750,99999,99999,0,2,9,5,0,2,2,2
"17",13692,1650,380,0,1,9,5,0,2,2,0
"18",38000,975,975,0,8,9,4,0,2,2,0
"19",21000,750,750,0,2,9,2,0,2,2,0
"20",29000,1000,99998,0,8,8,3,0,2,2,2
"21",43000,975,975,0,8,8,6,0,2,2,2
"22",75000,1650,1650,0,2,9,5,4,2,2,2
"23",11340,1760,600,0,2,9,5,4,2,2,2
"24",18000,1565,355,0,2,5,3,0,2,0,2
"25",8400,500,500,3,1,4,1,4,2,2,2
"26",80000,99999,99999,0,2,9,7,0,2,2,2
"27",9540,1100,229,0,2,9,3,0,2,2,2
"28",24960,1500,890,0,2,9,5,2,2,2,2
"29",48000,1480,1480,0,2,9,3,4,2,2,2
"30",20568,900,900,0,2,9,4,0,2,2,2
"31",2000,800,800,0,2,9,3,0,0,0,0
"32",42064,850,850,0,2,9,3,0,2,2,2
"33",10400,1100,262,0,2,5,3,4,2,2,2
"34",26424,671,671,0,2,9,6,4,2,2,2
"35",9540,351,351,0,8,9,4,4,2,2,2
"36",28930,515,515,0,1,9,4,4,2,2,2
"37",29000,992,99998,0,2,9,6,0,2,2,2
"38",50000,1200,412,0,2,9,3,0,2,2,2
"39",41600,1470,390,0,2,9,4,0,2,2,2
"40",9999999,1222,472,0,2,9,3,0,2,2,2
"41",41920,1294,339,0,2,2,1,2,2,2,2
"42",8724,515,515,0,1,5,6,2,2,2,2
"43",21900,422,422,0,2,9,4,0,2,2,2
"44",47000,250,250,0,2,9,5,0,2,2,2
"45",23436,400,400,0,2,9,3,4,2,2,2
"46",68000,700,700,0,2,5,3,0,2,2,2
