"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"1",95000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2",21372,1075,85,1,2,9,4,0,2,2,2,2,2
"3",33000,1275,1275,1,2,9,4,0,2,2,2,2,1
"4",39655,944,944,1,2,9,5,2,2,2,2,2,2
"5",45952,99999,99999,1,2,9,5,0,2,2,2,1,8
"6",16239,945,223,1,1,9,2,0,2,2,2,1,2
"7",24000,600,600,1,2,9,5,0,0,2,2,2,2
"8",60000,1500,1500,1,2,9,2,0,2,2,2,2,2
"9",12000,600,600,1,8,9,4,0,2,2,2,2,2
"10",10050,1600,800,1,2,5,6,2,2,2,2,1,2
"11",25000,800,800,1,2,9,2,0,2,2,2,2,2
"12",659,1415,250,2,2,5,5,4,2,2,2,1,1
"13",20756,99999,99999,1,1,5,6,2,2,2,2,2,2
"14",43000,1300,1300,1,2,9,1,0,2,2,2,2,2
"15",40000,1100,1100,1,2,9,2,0,2,2,2,1,2
"16",81200,2530,1289,1,2,9,5,0,2,2,2,1,2
"17",49400,1600,99998,1,2,9,3,0,2,2,2,2,2
"18",30360,400,400,1,2,9,4,0,2,2,2,1,2
"19",35080,1003,99998,1,2,8,3,0,2,2,2,8,8
"20",87000,1800,1800,1,2,9,5,0,2,2,2,2,2
"21",9500,1180,236,1,2,9,3,0,2,2,2,2,2
"22",24100,1300,450,1,1,9,3,0,2,2,2,2,2
"23",25760,1600,890,1,2,9,5,2,2,2,2,2,2
"24",36400,1625,1625,1,2,8,3,0,2,2,2,8,8
"25",35700,99999,99999,1,2,9,3,0,2,2,2,2,2
"26",31812,900,900,1,2,9,4,0,2,2,2,1,1
"27",19332,1000,1000,1,2,9,3,0,2,2,2,2,2
"28",16400,1130,1130,2,1,5,2,2,2,2,2,1,2
"29",52392,451,99998,1,2,9,4,0,2,2,2,2,2
"30",56080,571,571,1,2,9,4,4,2,2,2,1,1
"31",149000,1052,1052,1,2,9,6,0,2,2,2,2,2
"32",22160,1200,480,1,2,9,3,0,2,2,2,2,1
"33",19248,1200,480,1,2,9,3,0,2,2,2,2,2
"34",8520,1234,385,1,2,5,3,4,2,2,2,1,1
"35",30040,1200,99998,1,2,8,3,0,2,2,2,8,8
"36",9600,1180,236,1,2,9,3,0,2,2,2,2,2
"37",1200,1182,170,1,2,9,3,0,2,2,2,1,2
"38",10632,256,256,1,2,5,6,4,2,2,2,1,1
"39",23340,442,442,1,1,5,4,2,2,2,2,2,2
"40",18792,250,250,1,2,5,5,0,2,2,2,1,2
"41",14064,500,500,1,2,9,2,0,2,2,2,1,2
"42",50000,900,900,1,2,9,3,0,2,2,2,2,2
"43",29232,500,500,1,2,9,3,0,2,2,2,2,2
"44",9864,1014,236,1,2,9,1,0,2,2,2,2,2
"45",1250,1234,385,1,1,9,1,0,2,2,2,2,2
"46",9864,1290,236,1,2,9,1,0,2,2,2,2,2
"47",19896,762,281,1,2,9,1,0,2,2,2,1,2
"48",42152,715,715,1,2,9,3,0,2,2,2,2,2
"49",32000,800,800,1,2,9,2,4,2,2,2,2,2
"50",23000,635,635,1,2,9,3,0,2,2,2,2,2
"51",30000,715,715,1,2,9,2,2,2,2,2,2,2
"52",81500,715,715,1,2,8,5,0,0,2,2,8,8
"53",36600,1300,1300,1,2,9,4,2,2,2,2,1,1
"54",52000,1610,1610,1,2,9,3,0,2,2,2,2,2
"55",16800,99999,99999,1,2,8,3,0,2,2,2,2,2
"56",884,99999,99999,1,2,5,4,2,2,2,2,1,2
"57",1943,99999,99999,1,1,9,6,0,2,2,2,2,2
"58",1942,99999,99999,1,1,9,6,0,2,2,2,2,2
"59",9000,1217,1217,1,2,9,2,0,2,2,0,2,2
"60",29400,1300,99998,1,2,9,4,0,2,2,2,1,2
"61",500,1300,99998,1,2,9,4,0,2,2,2,1,2
"62",3840,2000,99998,1,2,9,5,0,2,2,2,2,2
"63",13440,99999,99999,1,2,9,3,0,2,2,2,2,2
"64",12120,160,160,1,2,9,3,0,2,2,2,2,2
"65",66000,1200,1200,1,2,9,5,0,2,2,2,2,2
"66",72000,1200,1200,1,2,9,5,0,0,2,2,2,2
"67",6000,99999,99999,1,2,9,5,0,0,2,2,1,2
"68",16000,680,680,2,2,9,1,0,2,2,2,2,2
"69",80000,1200,1200,2,2,9,5,0,0,2,2,2,2
"70",19000,1600,450,1,2,9,3,2,2,2,2,1,1
"71",19440,2240,540,1,1,5,4,4,2,2,2,1,1
"72",9600,1500,215,1,2,9,1,0,2,2,2,1,1
"73",26600,1100,1100,1,2,9,2,0,2,2,2,1,2
"74",82000,1200,1200,1,2,9,4,2,2,2,2,1,2
"75",33300,1100,1100,1,2,9,3,0,2,2,2,2,2
"76",97300,99999,99999,1,2,9,6,0,2,2,2,2,2
"77",1943,99999,99999,1,2,9,3,0,2,2,2,2,2
"78",54000,880,880,1,2,9,2,0,2,2,2,2,2
"79",3500,263,0,1,2,9,3,0,2,2,2,1,2
"80",10436,782,391,1,2,9,2,0,2,2,2,2,2
"81",6000,400,220,1,1,9,3,0,2,2,2,1,2
"82",9864,1060,65,1,2,9,3,2,2,2,2,2,2
"83",11040,1233,182,1,1,2,4,0,2,2,2,1,1
"84",13104,415,415,1,2,9,3,0,2,2,2,2,2
"85",22860,1222,1222,1,2,9,4,0,2,2,2,2,2
"86",47044,1082,1082,1,2,9,3,0,2,2,0,2,2
"87",20000,1216,1216,1,2,9,4,0,2,2,0,2,2
"88",62860,325,325,1,2,9,3,2,2,2,2,1,2
"89",15200,420,420,1,2,9,5,0,2,2,2,2,2
"90",9876,350,350,1,2,5,3,0,2,2,2,2,1
"91",32760,1100,1100,1,2,9,4,0,2,2,2,2,2
"92",1388,420,420,1,2,5,4,0,2,2,2,1,2
"93",29000,144,144,1,2,4,5,0,2,2,2,1,1
"94",32152,1250,1250,1,2,5,3,0,2,2,2,2,1
"95",116000,1200,1200,1,2,9,3,0,2,2,2,2,2
"96",35000,862,862,1,2,9,2,0,2,2,2,2,2
"97",34459,1172,134,1,2,9,4,0,2,2,2,2,2
"98",70000,870,870,1,2,9,2,0,2,2,2,2,2
"99",39768,765,765,1,2,9,3,0,2,2,2,2,2
"100",9912,1300,136,1,2,9,2,0,2,2,2,2,2
"101",48160,1275,200,1,2,9,4,0,2,2,0,2,2
"102",89306,1800,1543,1,2,5,5,0,2,2,2,1,2
"103",9600,408,408,1,2,9,3,0,2,2,2,2,2
"104",19000,99999,99999,1,2,2,2,0,2,2,2,2,2
"105",50200,933,933,1,2,9,5,0,2,2,2,1,1
"106",14820,1300,198,1,2,9,3,0,2,2,2,2,2
"107",9060,900,161,1,2,9,3,0,2,2,2,1,2
"108",9720,1300,198,1,2,9,3,0,2,2,2,2,2
"109",8702,250,250,1,2,5,1,2,2,2,2,1,2
